Sum of Age,Attrition,BusinessTravel,Sum of DailyRate,Department,Sum of DistanceFromHome,Sum of Education,EducationField,Sum of EmployeeCount,EmployeeNumber,Sum of EnvironmentSatisfaction,Gender,Sum of HourlyRate,Sum of JobInvolvement,Sum of JobLevel,JobRole,Sum of JobSatisfaction,MaritalStatus,Sum of MonthlyIncome,Sum of MonthlyRate,Sum of NumCompaniesWorked,Over18,OverTime,Sum of PercentSalaryHike,Sum of PerformanceRating,Sum of RelationshipSatisfaction,Sum of StandardHours,Sum of StockOptionLevel,Sum of TotalWorkingYears,Sum of TrainingTimesLastYear,Sum of WorkLifeBalance,Sum of YearsAtCompany,Sum of YearsInCurrentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager
64,No,Travel_Rarely,204,Research & Development,20,2,Life Sciences,2,1666,6,Male,108,6,4,Healthcare Representative,8,Married,6118,23526,8,Y,No,22,6,8,160,0,0,4,2,0,10,8,6
68,No,Travel_Rarely,2748,Research & Development,40,8,Life Sciences,2,1685,2,Female,114,6,2,Research Director,2,Divorced,2018,16394,4,Y,No,26,6,6,160,0,38,4,4,20,8,8,0
100,No,Travel_Rarely,2322,Research & Development,22,2,Life Sciences,2,1697,6,Female,142,4,4,Sales Executive,2,Married,25164,33202,8,Y,No,28,6,4,160,0,44,4,4,32,12,0,0
96,No,Travel_Rarely,1624,Research & Development,2,2,Life Sciences,2,1705,6,Male,156,4,2,Laboratory Technician,4,Single,8782,48670,8,Y,No,22,6,8,160,2,32,6,4,10,6,0,2
82,No,Travel_Rarely,1550,Research & Development,40,6,Life Sciences,2,1729,2,Male,82,4,2,Research Scientist,2,Married,5274,43930,4,Y,No,38,6,8,160,0,48,2,4,0,6,2,8
72,No,Travel_Rarely,2072,Research & Development,36,4,Life Sciences,2,1736,8,Male,144,4,2,Research Scientist,4,Divorced,14710,30146,6,Y,Yes,32,6,6,160,0,42,4,4,26,6,0,4
68,No,Travel_Rarely,732,Research & Development,2,6,Life Sciences,2,1767,6,Female,84,4,4,Research Director,4,Single,24078,9558,6,Y,No,42,6,8,160,0,22,4,4,20,0,0,4
96,No,Travel_Rarely,2464,Research & Development,26,4,Life Sciences,2,1771,4,Male,124,4,2,Laboratory Technician,6,Married,19656,22246,6,Y,No,24,6,4,160,0,24,2,4,0,10,0,18
80,No,Travel_Rarely,1378,Research & Development,4,6,Life Sciences,2,1786,2,Male,74,6,4,Sales Executive,2,Married,12666,25474,0,Y,Yes,22,6,2,160,0,0,4,4,0,14,2,0
52,No,Travel_Rarely,1236,Research & Development,32,6,Life Sciences,2,1811,4,Male,132,4,2,Manufacturing Director,6,Divorced,2018,20100,0,Y,No,36,6,4,160,0,24,8,4,8,18,0,6
76,No,Travel_Rarely,2226,Research & Development,10,6,Life Sciences,2,1817,4,Female,174,4,2,Sales Executive,6,Divorced,2018,49082,4,Y,No,22,6,6,160,0,6,4,6,10,4,14,10
58,No,Travel_Rarely,1312,Research & Development,32,8,Life Sciences,2,1819,4,Female,126,4,6,Manufacturing Director,2,Married,7458,34078,6,Y,No,38,6,6,160,4,22,6,4,2,18,10,10
102,No,Travel_Rarely,2112,Research & Development,2,4,Life Sciences,2,1819,2,Male,168,4,8,Laboratory Technician,6,Married,2018,14746,10,Y,Yes,26,6,2,160,0,16,6,4,26,0,0,8
86,No,Travel_Rarely,2618,Research & Development,2,4,Life Sciences,2,1821,2,Female,106,6,6,Sales Executive,8,Married,16526,50642,6,Y,No,38,6,6,160,0,12,4,6,0,8,0,0
60,No,Travel_Rarely,2998,Research & Development,6,6,Life Sciences,2,1829,4,Male,98,4,2,Sales Representative,4,Divorced,22946,13688,0,Y,Yes,40,6,8,160,2,22,2,4,8,10,0,12
56,No,Travel_Rarely,2998,Research & Development,14,6,Life Sciences,2,1833,4,Female,92,4,2,Laboratory Technician,4,Married,27976,48904,0,Y,Yes,42,6,8,160,0,0,4,2,18,12,2,14
102,No,Travel_Rarely,1762,Research & Development,2,8,Life Sciences,2,1841,6,Male,182,4,2,Sales Executive,4,Single,18228,5838,0,Y,No,30,6,4,160,0,26,4,4,14,10,12,8
82,No,Travel_Rarely,2366,Research & Development,8,4,Life Sciences,2,1857,8,Male,60,6,6,Laboratory Technician,8,Married,6238,47708,4,Y,No,44,6,4,160,4,34,8,4,0,0,0,26
64,No,Travel_Rarely,2332,Research & Development,28,6,Life Sciences,2,1858,8,Female,102,4,2,Sales Representative,8,Divorced,18006,4188,4,Y,No,40,6,4,160,0,42,4,2,24,14,4,6
82,No,Travel_Rarely,846,Research & Development,30,8,Life Sciences,2,1895,4,Male,82,6,2,Manager,4,Married,26818,31468,4,Y,No,30,8,6,160,0,12,8,2,0,14,10,16
60,No,Travel_Rarely,1202,Research & Development,8,4,Life Sciences,2,1898,4,Female,60,4,8,Research Scientist,2,Married,11098,39974,6,Y,Yes,36,6,2,160,0,8,2,4,6,8,0,2
70,No,Travel_Rarely,1780,Research & Development,16,4,Life Sciences,2,1927,2,Male,194,2,2,Laboratory Technician,2,Married,15612,11326,0,Y,No,30,6,6,160,2,26,2,2,0,16,0,0
66,No,Travel_Rarely,1680,Research & Development,44,4,Life Sciences,2,1935,4,Male,188,4,2,Research Scientist,2,Divorced,22154,24924,4,Y,No,32,6,6,160,0,0,0,4,28,4,4,20
56,No,Travel_Rarely,2320,Research & Development,2,2,Life Sciences,2,1955,6,Male,92,6,6,Laboratory Technician,8,Married,39998,19150,4,Y,No,40,6,6,160,0,20,6,2,0,4,8,8
66,No,Travel_Rarely,2046,Research & Development,4,2,Life Sciences,2,1977,8,Female,188,2,6,Laboratory Technician,2,Divorced,8956,8450,4,Y,No,22,6,4,160,0,6,6,6,6,0,6,0
74,No,Travel_Rarely,2670,Research & Development,36,6,Life Sciences,2,1984,6,Male,90,8,6,Research Director,4,Single,8994,40018,2,Y,No,42,6,8,160,0,0,10,2,10,14,10,6
86,No,Travel_Rarely,1672,Research & Development,46,8,Life Sciences,2,1990,2,Male,88,4,6,Healthcare Representative,2,Married,8240,19488,0,Y,No,30,6,2,160,4,44,2,6,18,14,0,2
74,No,Travel_Rarely,2702,Research & Development,18,2,Life Sciences,2,1995,4,Female,134,2,2,Sales Executive,4,Married,18826,36666,0,Y,No,28,6,4,160,0,34,6,2,16,12,0,0
50,No,Travel_Rarely,1112,Research & Development,22,4,Life Sciences,2,2001,4,Male,164,6,2,Manager,2,Married,2018,51836,8,Y,No,22,6,6,160,0,20,2,4,20,6,0,16
60,No,Travel_Rarely,1674,Research & Development,12,4,Life Sciences,2,2013,2,Male,200,2,4,Manufacturing Director,4,Single,2018,22432,8,Y,Yes,36,6,2,160,0,42,6,4,6,8,0,6
108,No,Travel_Rarely,974,Research & Development,30,6,Life Sciences,2,2020,6,Female,144,4,4,Manufacturing Director,4,Single,5924,52272,2,Y,No,30,6,6,160,0,22,4,4,8,18,4,16
72,No,Travel_Rarely,2032,Research & Development,20,4,Life Sciences,2,2059,4,Female,132,6,4,Sales Executive,4,Married,39998,13640,12,Y,No,42,6,6,160,2,24,6,4,26,6,0,0
82,No,Travel_Rarely,1036,Research & Development,26,4,Life Sciences,2,2066,4,Male,174,6,2,Manufacturing Director,4,Divorced,18972,22580,8,Y,Yes,30,6,2,160,0,14,6,6,34,0,10,2
58,No,Travel_Rarely,1720,Research & Development,12,2,Life Sciences,2,2068,2,Female,114,4,2,Laboratory Technician,4,Divorced,19700,41386,6,Y,Yes,26,6,6,160,0,56,2,4,6,6,0,10
36,No,Travel_Rarely,1632,Research & Development,18,4,Life Sciences,2,2068,4,Male,122,6,8,Laboratory Technician,6,Married,12602,22472,10,Y,No,28,6,4,160,4,8,8,4,14,8,4,2
64,No,Travel_Rarely,1600,Research & Development,42,8,Life Sciences,2,2068,6,Male,134,6,2,Laboratory Technician,6,Married,15248,37614,6,Y,Yes,30,6,6,160,4,30,2,4,0,14,8,10
60,No,Travel_Rarely,1450,Research & Development,22,6,Life Sciences,2,2068,6,Male,148,6,2,Manager,6,Married,5210,18326,6,Y,No,22,6,6,160,0,12,4,4,0,10,4,0
72,No,Travel_Rarely,896,Research & Development,12,8,Life Sciences,2,2068,2,Male,112,4,4,Manufacturing Director,8,Married,16336,32532,12,Y,Yes,46,6,2,160,6,38,4,4,12,22,16,6
94,No,Travel_Rarely,1028,Research & Development,32,6,Life Sciences,2,2068,4,Male,70,8,2,Manufacturing Director,4,Single,10526,22868,4,Y,No,44,8,4,160,2,34,8,4,18,10,2,12
78,No,Travel_Rarely,1750,Research & Development,10,2,Marketing,2,1,4,Female,80,2,6,Laboratory Technician,2,Single,19926,30008,6,Y,No,38,6,6,160,0,20,2,4,10,6,0,10
58,No,Travel_Rarely,536,Research & Development,2,8,Marketing,2,1,2,Male,188,4,2,Sales Representative,6,Married,22658,18820,10,Y,No,36,8,4,160,2,46,8,6,18,2,2,16
78,No,Travel_Rarely,2998,Research & Development,34,6,Marketing,2,33,4,Male,82,2,6,Sales Executive,2,Single,25582,35842,0,Y,No,32,6,2,160,0,52,4,4,6,0,18,8
78,No,Travel_Rarely,1974,Research & Development,14,2,Marketing,2,88,4,Male,124,8,2,Healthcare Representative,2,Married,13674,42528,6,Y,No,22,6,8,160,0,12,0,4,6,4,6,8
86,No,Travel_Rarely,1530,Research & Development,6,2,Marketing,2,164,6,Male,60,4,2,Manager,6,Married,16264,37782,6,Y,No,24,6,6,160,2,38,4,4,26,8,0,6
80,No,Travel_Rarely,2000,Research & Development,16,4,Marketing,2,167,4,Male,118,4,4,Laboratory Technician,4,Married,6926,29364,6,Y,No,24,6,6,160,0,16,6,4,30,0,14,0
90,No,Travel_Rarely,592,Research & Development,28,2,Marketing,2,171,6,Female,86,6,4,Healthcare Representative,4,Married,14562,48590,4,Y,No,22,6,4,160,2,42,6,4,32,12,8,0
58,No,Travel_Rarely,1912,Research & Development,16,4,Marketing,2,190,4,Female,138,6,2,Laboratory Technician,2,Married,23924,44774,2,Y,No,36,6,6,160,0,20,6,4,12,0,4,4
144,No,Travel_Rarely,3562,Research & Development,22,12,Marketing,4,301,4,Female,270,10,6,Laboratory Technician,6,Married,10884,44082,10,Y,No,48,12,8,320,2,86,4,8,0,24,12,26
90,No,Travel_Rarely,1452,Research & Development,4,4,Marketing,2,308,6,Female,62,2,2,Sales Executive,4,Single,21150,44588,4,Y,No,26,6,4,160,0,8,8,6,24,20,0,0
80,No,Travel_Rarely,704,Research & Development,16,4,Marketing,2,311,4,Male,112,6,6,Research Director,4,Single,2018,27502,2,Y,No,32,6,6,160,0,2,4,4,14,4,0,4
68,No,Travel_Rarely,2346,Research & Development,46,6,Marketing,2,325,2,Male,154,2,4,Research Scientist,4,Single,11704,22736,0,Y,Yes,34,6,4,160,2,12,4,6,14,16,4,6
68,No,Travel_Rarely,344,Research & Development,2,2,Marketing,2,354,4,Male,182,4,4,Manufacturing Director,6,Single,18202,31728,4,Y,Yes,26,6,2,160,0,42,4,2,26,0,4,12
102,No,Travel_Rarely,2234,Research & Development,8,4,Marketing,2,367,4,Male,136,4,4,Research Director,2,Married,2018,23528,10,Y,No,22,6,6,160,0,40,8,4,14,6,0,16
64,No,Travel_Rarely,1472,Research & Development,26,8,Marketing,2,386,4,Female,174,4,2,Sales Executive,2,Married,18032,12140,4,Y,No,32,6,8,160,2,26,6,4,0,18,10,18
52,No,Travel_Rarely,1774,Research & Development,24,4,Marketing,2,388,2,Male,72,2,6,Laboratory Technician,8,Married,23646,18430,0,Y,Yes,36,6,6,160,0,32,10,2,0,0,6,12
94,No,Travel_Rarely,1510,Research & Development,58,2,Marketing,2,409,8,Male,110,2,2,Sales Executive,6,Married,18100,31794,0,Y,Yes,36,6,8,160,0,30,0,4,22,2,16,8
88,No,Travel_Rarely,1096,Research & Development,2,6,Marketing,2,417,6,Female,184,6,2,Research Scientist,2,Married,13314,31624,6,Y,No,22,6,4,160,0,58,0,2,14,4,6,0
94,No,Travel_Rarely,204,Research & Development,30,4,Marketing,2,419,6,Male,124,4,4,Research Scientist,4,Single,6118,32170,12,Y,No,26,6,2,160,0,26,4,4,0,8,14,0
92,No,Travel_Rarely,2300,Research & Development,12,2,Marketing,2,427,2,Male,200,4,10,Research Scientist,8,Divorced,15478,13524,0,Y,No,40,6,6,160,2,0,6,4,6,4,6,20
56,No,Travel_Rarely,204,Research & Development,38,4,Marketing,2,438,2,Female,126,6,2,Sales Executive,4,Married,12192,30980,6,Y,Yes,42,6,6,160,0,20,8,6,22,2,2,6
86,No,Travel_Rarely,2620,Research & Development,36,2,Marketing,2,442,4,Female,168,4,4,Sales Executive,4,Divorced,11688,27182,12,Y,No,34,6,4,160,4,22,6,6,0,10,0,24
108,No,Travel_Rarely,1736,Research & Development,28,2,Marketing,2,495,2,Male,112,4,2,Sales Executive,6,Married,11114,11166,0,Y,No,32,6,4,160,0,26,10,6,2,14,4,10
60,No,Travel_Rarely,1082,Research & Development,2,2,Marketing,2,501,4,Male,60,4,2,Laboratory Technician,2,Single,27978,23806,6,Y,No,42,6,6,160,0,30,0,4,0,0,0,8
90,No,Travel_Rarely,514,Research & Development,2,8,Marketing,2,561,6,Male,102,6,2,Manufacturing Director,4,Married,13772,43246,8,Y,No,40,6,6,160,2,0,4,6,0,0,8,0
62,No,Travel_Rarely,902,Research & Development,2,4,Marketing,2,584,2,Male,158,4,2,Sales Executive,2,Married,25588,9850,8,Y,No,34,6,2,160,0,16,6,4,34,10,0,2
56,No,Travel_Rarely,2162,Research & Development,24,2,Marketing,2,603,4,Female,148,4,6,Sales Executive,4,Married,2018,35242,14,Y,No,34,6,4,160,2,18,6,4,18,6,4,12
82,No,Travel_Rarely,1678,Research & Development,18,4,Marketing,2,634,2,Male,200,4,6,Human Resources,4,Married,13046,53998,0,Y,No,34,6,4,160,0,8,6,4,22,8,4,0
78,No,Travel_Rarely,2268,Research & Development,30,4,Marketing,2,639,6,Female,200,6,4,Manager,8,Married,11590,14096,2,Y,No,32,6,4,160,0,26,8,6,38,28,8,0
88,No,Travel_Rarely,2998,Research & Development,16,2,Marketing,2,659,4,Female,196,4,4,Laboratory Technician,6,Single,7892,17774,8,Y,Yes,32,6,6,160,0,26,8,4,14,18,12,8
84,No,Travel_Rarely,2676,Research & Development,10,4,Marketing,2,666,4,Male,140,2,4,Laboratory Technician,4,Single,16466,12446,4,Y,Yes,28,6,4,160,4,8,6,4,14,2,20,14
80,No,Travel_Rarely,910,Research & Development,18,4,Marketing,2,666,8,Male,200,4,2,Sales Executive,6,Married,22920,23396,0,Y,No,26,6,6,160,2,20,4,6,22,0,6,10
74,No,Travel_Rarely,600,Research & Development,40,4,Marketing,2,712,8,Male,60,4,4,Research Scientist,6,Single,17674,30744,0,Y,Yes,34,6,2,160,0,24,4,4,6,16,0,18
48,No,Travel_Rarely,916,Research & Development,8,6,Marketing,2,750,4,Male,122,4,4,Healthcare Representative,2,Single,7796,26994,6,Y,No,22,6,2,160,2,18,6,6,6,12,8,8
62,No,Travel_Rarely,1318,Research & Development,28,4,Marketing,2,770,2,Female,162,4,2,Research Scientist,8,Married,23136,46508,0,Y,No,28,6,8,160,0,24,4,4,20,24,12,8
74,No,Travel_Rarely,998,Research & Development,18,6,Marketing,2,770,6,Male,120,4,2,Sales Executive,4,Married,2018,31090,10,Y,No,32,6,4,160,2,2,8,6,22,8,0,8
58,No,Travel_Rarely,1872,Research & Development,2,4,Marketing,2,793,4,Male,86,6,2,Laboratory Technician,4,Divorced,19072,29122,10,Y,Yes,30,6,2,160,0,22,2,6,18,14,10,2
84,No,Travel_Rarely,2222,Research & Development,4,4,Marketing,2,802,2,Female,138,2,2,Sales Executive,8,Divorced,10596,20866,2,Y,No,48,6,2,160,0,18,2,6,12,0,6,14
50,No,Travel_Rarely,1384,Research & Development,2,6,Marketing,2,832,4,Male,186,4,4,Laboratory Technician,4,Single,4618,20072,4,Y,No,28,6,2,160,0,18,2,6,24,18,8,8
56,No,Travel_Rarely,996,Research & Development,10,4,Marketing,2,844,8,Female,112,4,8,Manager,2,Married,14232,53998,4,Y,No,24,6,8,160,0,28,8,4,22,14,0,8
84,No,Travel_Rarely,2144,Research & Development,28,6,Marketing,2,867,4,Female,106,4,4,Sales Executive,6,Married,3906,16782,8,Y,Yes,30,6,4,160,0,16,2,6,30,0,0,18
72,No,Travel_Rarely,862,Research & Development,2,4,Marketing,2,891,6,Female,108,4,4,Manufacturing Director,8,Married,2018,38366,8,Y,Yes,22,6,4,160,2,0,4,8,8,2,8,20
62,No,Travel_Rarely,2998,Research & Development,32,2,Marketing,2,896,4,Male,104,6,4,Laboratory Technician,8,Married,2702,51472,6,Y,No,24,6,4,160,4,28,6,2,0,0,6,18
36,No,Travel_Rarely,1614,Research & Development,12,4,Marketing,2,934,2,Male,114,2,4,Research Scientist,4,Divorced,10462,31022,8,Y,No,28,6,8,160,2,0,6,4,38,12,0,0
84,No,Travel_Rarely,2466,Research & Development,10,4,Marketing,2,956,2,Male,172,6,2,Manufacturing Director,6,Married,22068,21640,6,Y,No,44,6,2,160,0,32,10,4,16,2,0,12
46,No,Travel_Rarely,1092,Research & Development,18,4,Marketing,2,977,4,Male,138,4,2,Sales Representative,2,Married,16580,35476,6,Y,No,22,6,2,160,2,8,6,6,0,12,8,2
92,No,Travel_Rarely,1432,Research & Development,10,4,Marketing,2,1027,4,Female,200,4,2,Research Scientist,8,Single,13508,47862,2,Y,No,32,6,4,160,0,8,0,6,10,6,8,4
80,No,Travel_Rarely,1742,Research & Development,18,6,Marketing,2,1031,2,Male,88,2,2,Laboratory Technician,2,Married,6826,28466,0,Y,No,22,6,4,160,0,50,0,4,16,0,4,6
94,No,Travel_Rarely,1830,Research & Development,26,6,Marketing,2,1060,4,Female,76,4,6,Manager,2,Divorced,8182,19198,2,Y,Yes,34,6,6,160,2,18,4,6,38,12,12,14
48,No,Travel_Rarely,936,Research & Development,30,8,Marketing,2,1067,4,Female,116,4,2,Manufacturing Director,4,Single,11366,21716,8,Y,Yes,32,6,6,160,0,2,8,2,0,18,0,10
58,No,Travel_Rarely,1906,Research & Development,40,4,Marketing,2,1082,6,Female,92,4,2,Healthcare Representative,6,Married,13160,47680,4,Y,No,34,6,4,160,2,32,4,6,12,8,0,12
64,No,Travel_Rarely,598,Research & Development,36,4,Marketing,2,1083,4,Male,80,4,2,Manufacturing Director,2,Divorced,7384,23668,0,Y,No,26,6,8,160,2,24,6,6,8,0,4,10
80,No,Travel_Rarely,1370,Research & Development,18,4,Marketing,2,1083,6,Male,90,6,2,Research Scientist,8,Single,12914,32400,6,Y,No,38,6,2,160,0,10,8,8,14,6,8,0
84,No,Travel_Rarely,562,Research & Development,4,4,Marketing,2,1091,2,Female,112,6,2,Sales Executive,6,Divorced,7580,27924,2,Y,Yes,22,6,2,160,4,28,6,4,24,12,4,12
38,No,Travel_Rarely,2092,Research & Development,24,6,Marketing,2,1131,6,Male,138,4,4,Laboratory Technician,8,Single,19680,29158,10,Y,No,22,6,4,160,4,10,10,6,28,6,8,14
48,No,Travel_Rarely,1782,Research & Development,28,4,Marketing,2,1134,6,Male,100,4,6,Manager,6,Married,19176,31814,6,Y,No,32,6,6,160,0,12,4,6,28,10,2,14
62,No,Travel_Rarely,2882,Research & Development,22,4,Marketing,2,1134,8,Male,112,4,2,Research Scientist,8,Married,19430,16270,12,Y,No,30,6,6,160,0,20,2,6,20,12,0,0
66,No,Travel_Rarely,2226,Research & Development,22,4,Marketing,2,1135,6,Male,168,6,2,Research Director,4,Divorced,13122,14586,4,Y,No,40,6,8,160,0,18,4,6,12,0,2,8
102,No,Travel_Rarely,1134,Research & Development,32,4,Marketing,2,1169,8,Male,124,4,2,Sales Executive,4,Married,5534,31108,0,Y,Yes,28,6,6,160,0,46,4,4,0,4,4,10
106,No,Travel_Rarely,1138,Research & Development,2,4,Marketing,2,1216,6,Female,140,6,2,Sales Representative,6,Married,14078,17372,2,Y,No,28,6,4,160,2,32,4,4,30,14,14,0
46,No,Travel_Rarely,1578,Research & Development,8,2,Marketing,2,1274,4,Female,116,6,4,Sales Executive,4,Married,2018,7268,2,Y,No,38,6,6,160,2,12,6,4,6,4,2,14
62,No,Travel_Rarely,2672,Research & Development,48,4,Marketing,2,1281,4,Female,146,6,2,Laboratory Technician,8,Married,13290,33046,0,Y,No,36,6,2,160,0,34,6,4,8,8,0,16
72,No,Travel_Rarely,1926,Research & Development,18,8,Marketing,2,1300,2,Female,116,2,2,Sales Executive,2,Single,20964,24288,0,Y,No,22,6,8,160,0,36,0,4,12,10,10,6
70,No,Travel_Rarely,2998,Research & Development,8,4,Marketing,2,1312,8,Male,182,4,4,Sales Executive,6,Married,4764,20208,0,Y,No,26,6,4,160,2,42,2,4,18,0,10,16
84,No,Travel_Rarely,2116,Research & Development,8,10,Marketing,2,1374,8,Female,140,6,4,Sales Executive,8,Single,19694,42804,2,Y,No,50,6,4,160,4,26,6,4,6,12,0,6
50,No,Travel_Rarely,2532,Research & Development,28,4,Marketing,2,1392,6,Female,160,4,2,Sales Executive,2,Married,18294,35734,0,Y,No,22,6,8,160,2,34,4,4,10,6,10,4
98,No,Travel_Rarely,1522,Research & Development,4,2,Marketing,2,1409,4,Female,136,4,2,Sales Representative,6,Single,11386,29074,10,Y,No,24,6,6,160,2,26,0,8,12,4,0,4
60,No,Travel_Rarely,1510,Research & Development,4,4,Marketing,2,1478,8,Female,72,2,2,Sales Executive,4,Married,15164,34984,4,Y,No,34,6,2,160,2,0,2,6,18,8,0,0
76,No,Travel_Rarely,870,Research & Development,20,4,Marketing,2,1486,8,Male,134,4,2,Laboratory Technician,4,Married,11084,21006,12,Y,No,28,6,6,160,2,16,2,4,30,16,8,4
88,No,Travel_Rarely,2780,Research & Development,2,2,Marketing,2,1503,4,Male,136,6,4,Research Scientist,8,Married,13748,33344,2,Y,Yes,22,6,2,160,0,12,6,6,0,2,6,4
46,No,Travel_Rarely,1378,Research & Development,10,6,Marketing,2,1532,6,Male,120,6,2,Manufacturing Director,6,Single,8412,40442,4,Y,No,24,6,2,160,0,26,2,6,42,14,8,8
76,No,Travel_Rarely,1524,Research & Development,30,6,Marketing,2,1545,4,Male,196,4,4,Laboratory Technician,2,Divorced,2812,31720,10,Y,Yes,36,6,4,160,0,12,0,4,18,14,8,14
70,No,Travel_Rarely,1104,Research & Development,14,4,Marketing,2,1566,4,Male,200,4,4,Sales Executive,2,Married,18570,31046,6,Y,Yes,22,6,2,160,2,6,4,4,6,8,0,8
80,No,Travel_Rarely,714,Research & Development,38,2,Marketing,2,1599,6,Male,120,6,6,Sales Executive,4,Single,23128,4188,10,Y,No,34,6,2,160,0,20,0,4,6,0,8,24
64,No,Travel_Rarely,1376,Research & Development,22,4,Marketing,2,1604,4,Male,132,4,8,Manufacturing Director,4,Married,18558,4188,4,Y,No,34,6,6,160,2,40,2,2,24,6,0,18
64,No,Travel_Rarely,1936,Research & Development,2,4,Marketing,2,1646,4,Female,172,4,2,Sales Representative,2,Divorced,14392,24670,8,Y,No,34,6,8,160,2,38,0,4,10,16,0,6
78,No,Travel_Rarely,1840,Research & Development,24,6,Marketing,2,1658,2,Female,96,4,4,Research Scientist,2,Single,9146,30286,0,Y,No,22,6,6,160,2,12,8,4,0,4,0,22
76,No,Travel_Rarely,1544,Research & Development,8,2,Marketing,2,1685,8,Female,160,4,2,Research Director,4,Married,32650,12894,0,Y,No,28,6,2,160,0,4,4,4,30,4,6,18
106,No,Travel_Rarely,240,Research & Development,2,4,Marketing,2,1695,2,Female,172,4,4,Sales Representative,4,Married,11334,45956,10,Y,No,26,6,4,160,2,16,2,4,0,8,6,10
76,No,Travel_Rarely,1594,Research & Development,20,6,Marketing,2,1720,6,Male,84,2,4,Sales Executive,4,Married,14128,26802,16,Y,Yes,40,6,6,160,0,0,8,6,14,14,2,2
56,No,Travel_Rarely,1884,Research & Development,58,8,Marketing,2,1765,8,Male,142,4,2,Manufacturing Director,2,Single,4342,13708,4,Y,Yes,42,6,6,160,0,42,8,2,10,18,2,22
106,No,Travel_Rarely,880,Research & Development,58,4,Marketing,2,1794,2,Female,124,4,4,Sales Executive,8,Single,9974,29744,0,Y,Yes,22,6,2,160,0,36,6,4,10,16,4,2
84,No,Travel_Rarely,688,Research & Development,50,2,Marketing,2,1832,8,Male,86,4,2,Laboratory Technician,6,Married,15212,37656,0,Y,No,34,6,6,160,4,18,2,6,36,0,6,30
62,No,Travel_Rarely,1980,Research & Development,38,6,Marketing,2,1838,6,Male,132,4,2,Manager,6,Married,4678,21214,8,Y,Yes,50,6,4,160,2,0,6,6,38,0,0,0
46,No,Travel_Rarely,554,Research & Development,18,2,Marketing,2,1839,8,Male,200,6,2,Research Scientist,6,Single,5344,18748,2,Y,Yes,32,6,8,160,0,44,6,4,6,12,0,6
90,No,Travel_Rarely,320,Research & Development,28,6,Marketing,2,1883,6,Male,76,4,4,Sales Executive,2,Single,9326,39538,10,Y,No,28,6,2,160,0,14,8,4,22,8,14,2
74,No,Travel_Rarely,2002,Research & Development,16,4,Marketing,2,1933,4,Female,154,4,2,Sales Executive,8,Married,9158,43126,10,Y,Yes,22,6,2,160,2,26,4,4,12,2,0,8
62,No,Travel_Rarely,608,Research & Development,4,8,Marketing,2,2004,4,Female,140,6,2,Laboratory Technician,8,Married,26216,39050,10,Y,No,48,6,4,160,0,24,8,4,22,2,0,14
106,No,Travel_Rarely,1058,Research & Development,16,6,Marketing,2,2047,2,Female,140,4,4,Laboratory Technician,4,Married,12782,26298,2,Y,Yes,22,6,4,160,0,32,2,4,10,0,14,6
80,No,Travel_Rarely,1720,Research & Development,14,6,Marketing,2,2068,8,Female,154,4,6,Sales Representative,4,Married,2018,6960,0,Y,Yes,30,8,6,160,0,2,8,4,12,10,2,14
36,No,Travel_Rarely,974,Research & Development,40,6,Marketing,2,2068,8,Male,102,4,4,Healthcare Representative,4,Divorced,24356,26208,8,Y,No,32,6,4,160,2,0,0,6,10,6,0,14
84,No,Travel_Rarely,1618,Research & Development,22,2,Marketing,2,2068,8,Male,60,6,4,Manufacturing Director,6,Married,3932,4188,8,Y,No,22,6,6,160,4,36,4,2,24,10,6,0
86,No,Travel_Rarely,2444,Research & Development,4,4,Medical,2,1,2,Female,148,4,2,Laboratory Technician,4,Divorced,17608,46824,2,Y,No,24,6,4,160,2,38,2,6,10,12,0,2
48,No,Travel_Rarely,1454,Research & Development,22,6,Medical,2,1,8,Female,158,2,4,Laboratory Technician,2,Single,8090,43108,0,Y,Yes,24,6,2,160,2,22,0,6,0,6,0,8
58,No,Travel_Rarely,2260,Research & Development,50,8,Medical,2,1,6,Female,180,2,2,Manager,6,Single,2222,25216,0,Y,No,40,6,6,160,0,12,8,4,22,12,18,8
86,No,Travel_Rarely,2004,Research & Development,2,2,Medical,2,1,4,Female,130,4,2,Manufacturing Director,6,Married,22274,41914,0,Y,Yes,30,6,4,160,2,42,4,4,12,14,0,10
96,No,Travel_Rarely,940,Research & Development,6,4,Medical,2,1,8,Male,162,2,4,Healthcare Representative,6,Single,11364,53998,0,Y,No,36,6,4,160,0,28,8,4,0,8,0,14
78,No,Travel_Rarely,1730,Research & Development,2,4,Medical,2,1,6,Male,146,2,2,Manufacturing Director,4,Divorced,11996,18172,0,Y,No,40,6,6,160,2,20,6,2,0,0,0,4
72,No,Travel_Rarely,204,Research & Development,18,6,Medical,2,1,2,Male,138,4,4,Manufacturing Director,4,Married,3206,8796,14,Y,Yes,28,6,8,160,0,46,8,6,22,10,8,6
86,No,Travel_Rarely,2570,Research & Development,2,6,Medical,2,1,6,Male,142,4,4,Sales Executive,2,Divorced,2018,16702,0,Y,No,24,6,6,160,0,38,4,6,0,0,8,0
